,ds,dv,dt,method,acc
155,CIFAR100,UniformNoise,MNIST,NeuronActivationPatterns/Resnet,0.8203
156,CIFAR100,UniformNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.77655
157,CIFAR100,UniformNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.796999
158,CIFAR100,UniformNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.4994
159,CIFAR100,UniformNoise,STL10,NeuronActivationPatterns/Resnet,0.519813
160,CIFAR100,UniformNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.549162
161,CIFAR100,NormalNoise,UniformNoise,NeuronActivationPatterns/Resnet,0.79645
162,CIFAR100,NormalNoise,MNIST,NeuronActivationPatterns/Resnet,0.8317
163,CIFAR100,NormalNoise,FashionMNIST,NeuronActivationPatterns/Resnet,0.78995
164,CIFAR100,NormalNoise,NotMNIST,NeuronActivationPatterns/Resnet,0.811151
165,CIFAR100,NormalNoise,CIFAR10,NeuronActivationPatterns/Resnet,0.4979
166,CIFAR100,NormalNoise,STL10,NeuronActivationPatterns/Resnet,0.51475
167,CIFAR100,NormalNoise,TinyImagenet,NeuronActivationPatterns/Resnet,0.545183
168,CIFAR100,MNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.7673
169,CIFAR100,MNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.83315
170,CIFAR100,MNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.7941
171,CIFAR100,MNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.815638
172,CIFAR100,MNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.49635
173,CIFAR100,MNIST,STL10,NeuronActivationPatterns/Resnet,0.513438
174,CIFAR100,MNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.543194
175,CIFAR100,FashionMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.6323
176,CIFAR100,FashionMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.742
177,CIFAR100,FashionMNIST,MNIST,NeuronActivationPatterns/Resnet,0.816
178,CIFAR100,FashionMNIST,NotMNIST,NeuronActivationPatterns/Resnet,0.823916
179,CIFAR100,FashionMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.4986
180,CIFAR100,FashionMNIST,STL10,NeuronActivationPatterns/Resnet,0.513438
181,CIFAR100,FashionMNIST,TinyImagenet,NeuronActivationPatterns/Resnet,0.537277
182,CIFAR100,NotMNIST,UniformNoise,NeuronActivationPatterns/Resnet,0.60585
183,CIFAR100,NotMNIST,NormalNoise,NeuronActivationPatterns/Resnet,0.71575
184,CIFAR100,NotMNIST,MNIST,NeuronActivationPatterns/Resnet,0.8118
185,CIFAR100,NotMNIST,FashionMNIST,NeuronActivationPatterns/Resnet,0.79695
186,CIFAR100,NotMNIST,CIFAR10,NeuronActivationPatterns/Resnet,0.49775
187,CIFAR100,NotMNIST,STL10,NeuronActivationPatterns/Resnet,0.512937
