,ds,dv,dt,method,acc
102,MNIST,STL10,CIFAR10,ProbThresh/Resnet,0.9086999893188477
103,MNIST,STL10,CIFAR100,ProbThresh/Resnet,0.8844499588012695
104,MNIST,STL10,TinyImagenet,ProbThresh/Resnet,0.9017999768257141
105,MNIST,TinyImagenet,UniformNoise,ProbThresh/Resnet,0.6460999846458435
106,MNIST,TinyImagenet,NormalNoise,ProbThresh/Resnet,0.8426499962806702
107,MNIST,TinyImagenet,FashionMNIST,ProbThresh/Resnet,0.913849949836731
108,MNIST,TinyImagenet,NotMNIST,ProbThresh/Resnet,0.885547935962677
109,MNIST,TinyImagenet,CIFAR10,ProbThresh/Resnet,0.9329999685287476
110,MNIST,TinyImagenet,CIFAR100,ProbThresh/Resnet,0.9146999716758728
111,MNIST,TinyImagenet,STL10,ProbThresh/Resnet,0.9393125176429749
112,MNIST,UniformNoise,NormalNoise,MCDropout-7/VGG,0.9767999649047852
113,MNIST,UniformNoise,FashionMNIST,MCDropout-7/VGG,0.9351499676704407
114,MNIST,UniformNoise,NotMNIST,MCDropout-7/VGG,0.8196966648101807
115,MNIST,UniformNoise,CIFAR10,MCDropout-7/VGG,0.9446499943733215
116,MNIST,UniformNoise,CIFAR100,MCDropout-7/VGG,0.9170999526977539
117,MNIST,UniformNoise,STL10,MCDropout-7/VGG,0.9520625472068787
118,MNIST,UniformNoise,TinyImagenet,MCDropout-7/VGG,0.9473999738693237
119,MNIST,NormalNoise,UniformNoise,MCDropout-7/VGG,0.9544999599456787
120,MNIST,NormalNoise,FashionMNIST,MCDropout-7/VGG,0.9234499931335449
121,MNIST,NormalNoise,NotMNIST,MCDropout-7/VGG,0.8072527050971985
122,MNIST,NormalNoise,CIFAR10,MCDropout-7/VGG,0.9387999773025513
123,MNIST,NormalNoise,CIFAR100,MCDropout-7/VGG,0.9060999751091003
124,MNIST,NormalNoise,STL10,MCDropout-7/VGG,0.9533750414848328
125,MNIST,NormalNoise,TinyImagenet,MCDropout-7/VGG,0.9432500004768372
126,MNIST,FashionMNIST,UniformNoise,MCDropout-7/VGG,0.9664999842643738
127,MNIST,FashionMNIST,NormalNoise,MCDropout-7/VGG,0.9698500037193298
128,MNIST,FashionMNIST,NotMNIST,MCDropout-7/VGG,0.8361995220184326
129,MNIST,FashionMNIST,CIFAR10,MCDropout-7/VGG,0.9455999732017517
130,MNIST,FashionMNIST,CIFAR100,MCDropout-7/VGG,0.9253999590873718
131,MNIST,FashionMNIST,STL10,MCDropout-7/VGG,0.9492500424385071
132,MNIST,FashionMNIST,TinyImagenet,MCDropout-7/VGG,0.9475499987602234
133,MNIST,NotMNIST,UniformNoise,MCDropout-7/VGG,0.9286999702453613
134,MNIST,NotMNIST,NormalNoise,MCDropout-7/VGG,0.9271999597549438
135,MNIST,NotMNIST,FashionMNIST,MCDropout-7/VGG,0.9189499616622925
136,MNIST,NotMNIST,CIFAR10,MCDropout-7/VGG,0.9203499555587769
137,MNIST,NotMNIST,CIFAR100,MCDropout-7/VGG,0.9129999876022339
138,MNIST,NotMNIST,STL10,MCDropout-7/VGG,0.9188125729560852
